#Supplementary Table 2 Summary of protein targets measured using the Olink Explore HT platform,,,,,,,,,,,,,,,,,,,,,,,,,,,
#sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Seer ID - best correlating Seer protein group; spear.seer = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
Olink ID,OlinkID_vendor,Assay,UniProt,Block,missing.per.olink,below.lod.per.olink,cv.olink,mean.cv.olink,sd.cv.olink,n.olink,mean.l2.olink,sd.l2.olink,median.l2.olink,min.l2.olink,max.l2.olink,faction.outlier.olink,p.dip.olink,cis.pQTL.olink,cis.pav.olink,med.pred,p25.pred,p75.pred,Seer ID,spear.seer,SomaLogic ID,spear.soma,correlation.cluster
ADCYAP1R1_42091,OID42091,ADCYAP1R1,P41586,3,0.00,37.09,33.43,-0.51,0.49,22.00,-0.23,0.57,-0.25,-2.06,4.58,0.01,0.98,FALSE,FALSE,0.10,0.10,0.10,,,seq.22566.53,0.02,
ADD1_44442,OID44442,ADD1,P35611,5,0.07,26.53,35.84,3.13,0.51,22.00,3.57,0.75,3.58,0.37,6.80,0.00,0.99,FALSE,FALSE,0.55,0.54,0.56,prot.2541,0.53,,,
ADD2_44443,OID44443,ADD2,P35612,5,0.07,0.97,43.46,0.99,0.40,22.00,1.25,0.70,1.17,-0.27,4.40,0.00,1.00,FALSE,FALSE,0.57,0.57,0.58,prot.2542,0.72,seq.24468.36,-0.03,
ADGB_40767,OID40767,ADGB,Q8N7X0,2,0.14,76.24,232.97,-1.24,3.41,22.00,0.38,3.66,0.17,-6.55,10.67,0.00,0.00,FALSE,FALSE,0.01,0.01,0.02,,,,,
ADGRA2_40768,OID40768,ADGRA2,Q96PE1,2,0.14,82.65,45.52,-0.45,0.70,22.00,0.03,0.90,-0.02,-3.46,8.01,0.00,0.99,FALSE,FALSE,0.03,0.02,0.03,,,seq.30747.47,0.00,
ADGRB1_43334,OID43334,ADGRB1,O14514,4,0.00,0.00,12.55,0.17,0.18,22.00,0.72,0.45,0.71,-0.77,3.30,0.00,1.00,FALSE,FALSE,0.36,0.35,0.37,,,seq.21711.86,0.28,
ADGRB3_43335,OID43335,ADGRB3,O60242,4,0.00,0.00,8.69,0.11,0.12,22.00,0.49,0.38,0.49,-0.76,3.02,0.00,0.96,TRUE,FALSE,0.35,0.34,0.35,,,seq.15365.41,0.19,
ADGRD1_44444,OID44444,ADGRD1,Q6QNK2,5,0.07,19.57,17.65,0.06,0.24,22.00,0.07,0.50,0.02,-1.28,2.40,0.00,0.86,TRUE,FALSE,0.59,0.58,0.60,,,seq.21546.20,0.80,
ADGRE1_43336,OID43336,ADGRE1,Q14246,4,0.00,25.47,20.92,-2.77,0.31,22.00,-1.85,0.70,-1.84,-7.23,0.63,0.00,0.96,FALSE,FALSE,0.18,0.17,0.18,,,seq.35270.100,0.07,
ADGRE2_44445,OID44445,ADGRE2,Q9UHX3,5,0.07,26.11,13.66,0.28,0.19,22.00,0.34,0.37,0.33,-1.49,1.82,0.00,0.99,FALSE,FALSE,0.51,0.50,0.51,prot.5962,0.06,seq.4546.27,0.59,
